,创业板
2014-06-06,16552682.0
2014-06-09,13532664.0
2014-06-10,15779122.0
2014-06-11,18025290.0
2014-06-12,17077624.0
2014-06-13,18362712.0
2014-06-16,19278958.0
2014-06-17,17134808.0
2014-06-18,15282855.0
2014-06-19,16903318.0
2014-06-20,11907174.0
2014-06-23,14514949.0
2014-06-24,14517845.0
2014-06-25,13895424.0
2014-06-26,18635116.0
2014-06-27,18283794.0
2014-06-30,18787736.0
2014-07-01,19457800.0
2014-07-02,20532464.0
2014-07-03,20417852.0
2014-07-04,19215140.0
2014-07-07,18228060.0
2014-07-08,18990540.0
2014-07-09,21751112.0
2014-07-10,16514057.0
2014-07-11,15365743.0
2014-07-14,17042172.0
2014-07-15,19208904.0
2014-07-16,16034403.0
2014-07-17,11842502.0
2014-07-18,11155743.0
2014-07-21,12051162.0
2014-07-22,12251800.0
2014-07-23,14436101.0
2014-07-24,14051676.0
2014-07-25,10526882.0
2014-07-28,13836976.0
2014-07-29,15257236.0
2014-07-30,15005274.0
2014-07-31,13773804.0
2014-08-01,16091302.0
2014-08-04,12393537.0
2014-08-05,19490644.0
2014-08-06,15491641.0
2014-08-07,16000260.0
2014-08-08,14450098.0
2014-08-11,17239952.0
2014-08-12,17256326.0
2014-08-13,18046572.0
2014-08-14,18617046.0
2014-08-15,17949342.0
2014-08-18,22445292.0
2014-08-19,24187900.0
2014-08-20,19028784.0
2014-08-21,19577488.0
2014-08-22,22099972.0
2014-08-25,19962446.0
2014-08-26,18360054.0
2014-08-27,13789763.0
2014-08-28,13699751.0
2014-08-29,11562446.0
2014-09-01,15490858.0
2014-09-02,20826444.0
2014-09-03,23968684.0
2014-09-04,24424652.0
2014-09-05,21209164.0
2014-09-09,21566028.0
2014-09-10,21773264.0
2014-09-11,26218382.0
2014-09-12,20829284.0
2014-09-15,23470990.0
2014-09-16,27119820.0
2014-09-17,17503912.0
2014-09-18,15765159.0
2014-09-19,16834430.0
2014-09-22,18443516.0
2014-09-23,17264768.0
2014-09-24,20795696.0
